informal work in eng,Profession in Amharic,professional/ formal,sector,sub sector
Senior .NET Software Developer,ሲኒየር .NET ሶፍትዌር ገንቢ,P,ICT and digital work,Software Design Development and Implementation Works
Senior / Associate ERP functional consultant,ሲኒየር / ተባባሪ ERP ተግባራዊ አማካሪ,P,ICT and digital work,Software Design Development and Implementation Works
Senior /Chief/ Electrician,ሲኒየር / አለቃ / ኤሌክትሪክ,P,Construction,Electrical Works Contractor
Senior /Foreign Procurement Officer,ከፍተኛ/የውጭ ግዥ ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Senior Access to Finance Team Lead,ከፍተኛ የፋይናንስ ቡድን መሪ መዳረሻ,P,Service,Finance and Administration Services
Senior Account Executive,ከፍተኛ የሂሳብ ሥራ አስፈፃሚ,P,Service,Accounting audit and adminstrative works
Senior Account Receivable Officer,ከፍተኛ የሂሳብ ተቀባይ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Account Receivables & Collection Officer,ከፍተኛ የሂሳብ ተቀባይ እና የስብስብ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Accountant and auditer,ከፍተኛ የሂሳብ ባለሙያ እና ኦዲተር,P,Service,Accounting and auditing Jobs
Senior Accountant and Finance Manager,ከፍተኛ የሂሳብ ባለሙያ እና የፋይናንስ ሥራ አስኪያጅ,P,Service,Accounting and auditing Jobs
Senior Admin and Finance Associate,ከፍተኛ አስተዳዳሪ እና ፋይናንስ ተባባሪ,P,Service,Accounting audit and adminstrative works
Senior Administration and Finance Officer,ከፍተኛ የአስተዳደር እና የፋይናንስ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior administration manager,ከፍተኛ የአስተዳደር ሥራ አስኪያጅ,P,Service,Accounting audit and adminstrative works
Senior Administration Officer,ከፍተኛ አስተዳደር ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Advisor - Community Based Intervention,ከፍተኛ አማካሪ - በማህበረሰብ ላይ የተመሰረተ ጣልቃገብነት,P,Service,Social work services
Senior Advisor - Gender and Livelihood,ከፍተኛ አማካሪ - ጾታ እና ኑሮ,P,Service,Social work services
Senior Advisor- ECCE Teacher Education,ከፍተኛ አማካሪ- ECCE የመምህራን ትምህርት,P,Service,Education counseling service
Senior Advisor for Adolescent and Youth Sexual Reproductive Health Program,ለወጣቶች እና ለወጣቶች የወሲብ ስነ ተዋልዶ ጤና ፕሮግራም ከፍተኛ አማካሪ,P,Health,Health
Senior Advisor Rural Development,ከፍተኛ አማካሪ የገጠር ልማት,P,agriculture,Agriculture
"SENIOR ADVISOR, GLOBAL SEXUAL REPRODUCTIVE HEALTH (SRH) TU - (701)",ሲኒየር አማካሪ፣ አለምአቀፍ የወሲብ ገንቢ ጤና (SRH) TU,P,Health,Health
"Senior Advisor, Management and Strategy, Public Health Emergency Management","ከፍተኛ አማካሪ, አስተዳደር እና ስትራቴጂ, የህዝብ ጤና ድንገተኛ አስተዳደር",P,Health,Health
Senior Advocacy & Partnership Specialist,ሲኒየር አድቮኬሲ እና አጋርነት ስፔሻሊስት,P,Service,Social work services
Senior Agent Banking Management Officer,ሲኒየር ወኪል የባንክ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Agribusiness Expert,ከፍተኛ የአግሪቢዝነስ ኤክስፐርት,P,agriculture,Agriculture
Senior Agricultural Engineer,ከፍተኛ የግብርና መሐንዲስ,P,agriculture,Agriculture
Senior Agronomist,ከፍተኛ የግብርና ባለሙያ,P,agriculture,Agriculture
Senior Agronomy Advisor,ከፍተኛ የአግሮኖሚ አማካሪ,P,agriculture,Agriculture
Senior Air Ticket Agent,ከፍተኛ የአየር ትኬት ወኪል,P,"Logistics, transportation and communication",Other supportive transportation services
Senior Analyst,ከፍተኛ ተንታኝ,P,Service,Consulting service around social science
Senior and Junior Operations,ሲኒየር እና ጁኒየር ክወናዎች,P,,
Senior and Junior Programmer,ሲኒየር እና ጁኒየር ፕሮግራመር,P,ICT and digital work,Software Design Development and Implementation Works
Senior and Lead Full Stack Engineers,ሲኒየር እና መሪ ሙሉ ቁልል መሐንዲሶች,P,ICT and digital work,Software Design Development and Implementation Works
Senior anethsethsist,ሲኒየር ማደንዘዣ,P,Health,Health
Senior Anti-Corruption Officer,ከፍተኛ የፀረ-ሙስና ኦፊሰር,P,Service,Other services
Senior Application Administrator,ከፍተኛ የመተግበሪያ አስተዳዳሪ,P,ICT and digital work,Software Design Development and Implementation Works
Senior Architectural Design Manager,ሲኒየር አርኪቴክቸር ዲዛይን ስራ አስኪያጅ,P,Service,Architecture Construction and Related Consultations
Senior Archive clerk,ሲኒየር ማህደር ጸሐፊ,P,Service,Library and Archives Services
Senior Area Procurement Officer,ሲኒየር አካባቢ የግዥ ኦፊሰር,P,Service,Logistics Supply and Support Services (outside of other business sectors)
Senior Art Director,ሲኒየር ጥበብ ዳይሬክተር,P,Tourism and art,Filmmaking and related work
Senior Asphalt Plant Forman,ሲኒየር አስፋልት ተክል ፎርማን,P,Construction,Road Contractor
Senior Asphalt Plant Mechanic,ሲኒየር አስፋልት ተክል መካኒክ,P,Construction,Road Contractor
Senior Asphalt Plant Operator,ሲኒየር አስፋልት ተክል ኦፕሬተር,P,Construction,Road Contractor
Senior Assembly Electrician,ሲኒየር ስብሰባ ኤሌክትሪክ,P,Manufacturing,Electrical equipment and utilities Manufacturing
Senior Assessment and Clearance Officer/ Assessment and Clearance Officer/Junior Officer,ከፍተኛ የግምገማ እና የፅዳት ኦፊሰር/የግምገማ እና የጽዳት ኦፊሰር/ጁኒየር ኦፊሰር,P,Service,Inspection
Senior Assessor,ከፍተኛ ገምጋሚ,P,Service,Inspection
Senior Asset Liability & Operation Risk Officer,ከፍተኛ የንብረት ተጠያቂነት እና ኦፕሬሽን ስጋት ኦፊሰር,P,Service,Finance and Administration Services
Senior Asset Valuation Analyst,ከፍተኛ የንብረት ዋጋ ተንታኝ,P,Service,Finance and Administration Services
Senior Asset Valuation Officer,ከፍተኛ የንብረት ዋጋ ኦፊሰር,P,Service,Finance and Administration Services
Senior Associate - Transaction Advisory Services,ሲኒየር ተባባሪ - የግብይት አማካሪ አገልግሎቶች,P,Service,Finance and Administration Services
Senior Associate -Business Process Solutions,ሲኒየር ተባባሪ -የንግድ ሂደት መፍትሄዎች,P,Service,Consulting service around social science
Senior Associate I - Business Development,ሲኒየር ተባባሪ I - የንግድ ልማት,P,Service,Business Promotion Service
"Senior Associate, Africa Procurement and Business Development (GAIN Premix Facility)",ከፍተኛ ተባባሪ፣ የአፍሪካ ግዥ እና የንግድ ልማት,P,Service,Business Promotion Service
Senior Associate-Learning & Development,ሲኒየር ተባባሪ-ትምህርት እና ልማት,P,Service,Education counseling service
"Senior Attorney, Sheriah & Legal Research and Advisory",ከፍተኛ ጠበቃ፣ ሸሪያ እና የህግ ጥናት እና ምክር,P,Service,Consulting service around social science
Senior Auto Body Man,ሲኒየር የመኪና አካል ሰው,P,Service,Motor vehicle repair work
Senior auto electrician,ከፍተኛ የመኪና ኤሌክትሪክ ባለሙያ,P,Service,Motor vehicle repair work
Senior Auto Electrician (Heavy Truck),ሲኒየር አውቶ ኤሌክትሪክ ባለሙያ (ከባድ መኪና),P,Service,Motor vehicle repair work
Senior Auto Technician,ከፍተኛ የመኪና ቴክኒሻን,P,Service,Motor vehicle repair work
Senior Auto-Electrician,ከፍተኛ ራስ-ኤሌክትሪክ ባለሙያ,P,Service,Motor vehicle repair work
Senior Automation Engineer,ሲኒየር አውቶሜሽን መሐንዲስ,P,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Senior Auto-Mechanic,ሲኒየር ራስ-መካኒክ,P,Service,Motor vehicle repair work
Senior Auxiliary & Machine Mechanic,ሲኒየር ረዳት እና ማሽን መካኒክ,P,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Senior Awards and Partnership Manager,ሲኒየር ሽልማቶች እና አጋርነት አስተዳዳሪ,P,Service,Business Promotion Service
Senior Awards and Sub Awards Specialist,ሲኒየር ሽልማቶች እና ንዑስ ሽልማቶች ስፔሻሊስት,P,Service,Business Promotion Service
Senior Banking Business Officer,ከፍተኛ የባንክ ቢዝነስ ኦፊሰር,P,Service,Finance and Administration Services
Senior Banking Expert,ከፍተኛ የባንክ ባለሙያ,P,Service,Finance and Administration Services
Senior Banking Expert in credit,በዱቤ ውስጥ ከፍተኛ የባንክ ባለሙያ,P,Service,Finance and Administration Services
Senior Banking Operation Officer,ከፍተኛ የባንክ ኦፕሬሽን ኦፊሰር,P,Service,Finance and Administration Services
Senior Banking Operation Officer I,ከፍተኛ የባንክ ኦፕሬሽን ኦፊሰር I,P,Service,Finance and Administration Services
Senior Banking Operation Officer II,ከፍተኛ የባንክ ኦፕሬሽን ኦፊሰር II,P,Service,Finance and Administration Services
Senior Basketball Coach,ከፍተኛ የቅርጫት ኳስ አሰልጣኝ,P,Sport Culture and tourism,Sport
Senior BIM Modeler (Structural),ሲኒየር BIM ሞዴል (መዋቅር),P,Service,Architecture Construction and Related Consultations
Senior Bio Medical Engineer,ሲኒየር ባዮ ሜዲካል መሐንዲስ,P,Health,Health
Senior Biomedical Engineer,ከፍተኛ የባዮሜዲካል መሐንዲስ,P,Health,Health
Senior Blasting Technician,ሲኒየር ፍንዳታ ቴክኒሽያን,P,Mining and Quarrying,Mining works
Senior Blowing Machine Operator,ሲኒየር የሚነፋ ማሽን ኦፕሬተር,P,Manufacturing,Manufacturing of plastic products
Senior Body Man,ከፍተኛ የሰውነት አካል,P,Service,Motor vehicle repair work
Senior Branch Credit Officer,ከፍተኛ የቅርንጫፍ ክሬዲት ኦፊሰር,P,Service,Finance and Administration Services
Senior Branch Foreign Trade Services Officer,ከፍተኛ የውጭ ንግድ አገልግሎት ኦፊሰር,P,Service,Finance and Administration Services
Senior Brand and Digital Marketing Officer,ሲኒየር ብራንድ እና ዲጂታል ማርኬቲንግ ኦፊሰር,P,Service,Advertising
Senior Brand Management Officer,ከፍተኛ የምርት ስም አስተዳደር ኦፊሰር,P,Service,Advertising
Senior Branding & Advertising Officer,ከፍተኛ የምርት ስም እና የማስታወቂያ ኦፊሰር,P,Service,Advertising
Senior Branding Expert,ከፍተኛ የምርት ስም ባለሙያ,P,Service,Advertising
Senior Branding Officer,ከፍተኛ የምርት ስም ኦፊሰር,P,Service,Advertising
Senior Budget Officer,የበጀት ከፍተኛ ኃላፊ,P,Service,Finance and Administration Services
Senior Building Management Officer,ከፍተኛ የግንባታ አስተዳደር ኦፊሰር,P,Construction,Building Construction Contractor
Senior Building Manager,ከፍተኛ የግንባታ ሥራ አስኪያጅ,P,Construction,Building Construction Contractor
Senior Business Analysis Officer,ከፍተኛ የንግድ ትንተና ኦፊሰር,P,Service,Business Promotion Service
Senior Business and Requirement Analyst,ሲኒየር ንግድ እና ተፈላጊነት ተንታኝ,P,Service,Business Promotion Service
Senior Business Development Advisor,ከፍተኛ የንግድ ልማት አማካሪ,P,Service,Business Promotion Service
Senior Business Development and Program Quality Manager,ሲኒየር የንግድ ልማት እና ፕሮግራም ጥራት አስተዳዳሪ,P,Service,Business Promotion Service
Senior Business Development Expert,ከፍተኛ የንግድ ልማት ባለሙያ,P,Service,Business Promotion Service
Senior Business Development Service Expert,ከፍተኛ የንግድ ልማት አገልግሎት ኤክስፐርት,P,Service,Business Promotion Service
Senior Business Development Specialist,ከፍተኛ የንግድ ልማት ስፔሻሊስት,P,Service,Business Promotion Service
Senior Business Intelligence Developer-I,ሲኒየር የንግድ ኢንተለጀንስ ገንቢ-I,P,ICT and digital work,Software Design Development and Implementation Works
Senior Business Intelligence Developer-II,ሲኒየር የንግድ ኢንተለጀንስ ገንቢ-II,P,ICT and digital work,Software Design Development and Implementation Works
Senior Business Intelligence Officer,ሲኒየር የንግድ ኢንተለጀንስ ኦፊሰር,P,ICT and digital work,Software Design Development and Implementation Works
Senior CAD Expert,ሲኒየር CAD ኤክስፐርት,P,Economic Infrastructure,Surveying & Drafting
Senior CAD Technician,ሲኒየር CAD ቴክኒሽያን,P,Economic Infrastructure,Surveying & Drafting
Senior Card Banking Officer,ከፍተኛ የካርድ ባንኪንግ ኦፊሰር,P,Service,Finance and Administration Services
Senior Carpenter,ሲኒየር አናጺ,P,Construction,"Carpenter, builder, and other similar construction works"
Senior Cash Management Officer,ከፍተኛ የገንዘብ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Category Manager,ከፍተኛ ምድብ አስተዳዳሪ,U,Business,Wholesale business in specialized stores
Senior CCTV Camera Operator and Technician,ሲኒየር CCTV ካሜራ ኦፕሬተር እና ቴክኒሽያን,P,Service,Security Service
Senior Center Manager,ከፍተኛ ማዕከል አስተዳዳሪ,U,Service,Business Promotion Service
Senior Certification Coordinator,ከፍተኛ የምስክር ወረቀት አስተባባሪ,P,Service,Professional certification
Senior Channel Specialist,ሲኒየር ሰርጥ ስፔሻሊስት,P,Service,Business Promotion Service
Senior Channels Management and Technical Support,ሲኒየር ሰርጦች አስተዳደር እና የቴክኒክ ድጋፍ,P,Service,Business Promotion Service
Senior Character Designer,ሲኒየር ቁምፊ ዲዛይነር,P,Tourism and art,Filmmaking and related work
Senior Chemist,ሲኒየር ኬሚስት,P,Manufacturing,Chemical Manufacturing
Senior Chemist Quantity,ሲኒየር ኬሚስት ብዛት,P,Manufacturing,Chemical Manufacturing
Senior Chemistry Analyst,ከፍተኛ የኬሚስትሪ ተንታኝ,P,Manufacturing,Chemical Manufacturing
Senior Chemist-Snack,ሲኒየር ኬሚስት-መክሰስ,P,Manufacturing,Manufacture of almond/ peanut/ foods
Senior Cheque Clearance Accountant,ሲኒየር ቼክ ማጽጃ አካውንታንት,P,Service,Finance and Administration Services
Senior Child Protection Officer,ከፍተኛ የልጅ ጥበቃ ኦፊሰር,P,Service,Social work services
Senior Cinematographer,ከፍተኛ ሲኒማቶግራፈር,P,Tourism and art,Filmmaking and related work
Senior Civil Society and Various Public Organization Participation Expert II,ከፍተኛ የሲቪል ማህበረሰብ እና የተለያዩ የህዝብ ድርጅት ተሳትፎ ኤክስፐርት II,P,Service,Social work services
Senior Civil Structural Engineer,ከፍተኛ የሲቪል መዋቅራዊ መሐንዲስ,P,Construction,Building Construction Contractor
Senior Claim Engineer,ከፍተኛ የይገባኛል ጥያቄ መሐንዲስ,P,Service,Finance and Administration Services
Senior Claim Officer- Life and health Insurance,ከፍተኛ የይገባኛል ጥያቄ መኮንን- የህይወት እና የጤና መድን,P,Service,Finance and Administration Services
Senior Claims Expert,ከፍተኛ የይገባኛል ጥያቄዎች ኤክስፐርት,P,Service,Finance and Administration Services
Senior Claims Officer,ከፍተኛ የይገባኛል ጥያቄ መኮንን,P,Service,Finance and Administration Services
Senior Clearing and Settlement Officer I,ከፍተኛ የጽዳት እና የሰፈራ መኮንን I,P,Service,Finance and Administration Services
Senior client Relationship Management Officer,ከፍተኛ የደንበኛ ግንኙነት አስተዳደር ኦፊሰር,P,Service,Business Promotion Service
Senior Client Service Officer,ከፍተኛ የደንበኛ አገልግሎት ኦፊሰር,P,Service,Business Promotion Service
senior clinical nurse,ከፍተኛ ክሊኒካዊ ነርስ,P,Health,Health
"Senior Clinical, Cardiac or Emergency Medicine Nursing",ሲኒየር ክሊኒካል፣ የልብ ወይም የድንገተኛ ህክምና ነርሲንግ,P,Health,Health
SENIOR CLOUD (SAAS) ENGINEER,ሲኒየር ደመና (SAAS) ኢንጂነር,P,ICT and digital work,Software Design Development and Implementation Works
Senior coach,ከፍተኛ አሰልጣኝ,P,Sport Culture and tourism,Sport
Senior Coffee Cupper (Coffee Quality Expert),ሲኒየር የቡና ስኒ (የቡና ጥራት ባለሙያ),P,agriculture,Coffee cultivation
Senior Coffee Export Documentation Officer,ከፍተኛ የቡና ኤክስፖርት ሰነድ ኦፊሰር,P,Business,Wholesale of ready-made agricultural products
Senior Collateral Valuator,ሲኒየር ዋስ ቫልዩተር,P,Service,Finance and Administration Services
Senior Commercial Analyst,ከፍተኛ የንግድ ተንታኝ,P,Business,Wholesale business in specialized stores
Senior Commodity Purchasing Officer,ከፍተኛ የሸቀጦች ግዢ ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior Commodity Sourcing Officer,ከፍተኛ የሸቀጥ ምንጭ ኦፊሰር,P,Business,Wholesale business in specialized stores
Senior Communication Advisor,ከፍተኛ የግንኙነት አማካሪ,P,Service,Consulting service around social science
Senior Communication Expert,ከፍተኛ የግንኙነት ባለሙያ,P,Service,Consulting service around social science
Senior Communication Officer,ከፍተኛ የኮሙኒኬሽን ኦፊሰር,P,Service,Consulting service around social science
Senior Communications Manager,ከፍተኛ የግንኙነት ሥራ አስኪያጅ,P,Service,Consulting service around social science
Senior Community Engagement and PHC Advisor,ከፍተኛ የማህበረሰብ ተሳትፎ እና PHC አማካሪ,P,Service,Social work services
Senior Company Sales Representatives,ከፍተኛ ኩባንያ የሽያጭ ተወካዮች,P,Business,Wholesale business in specialized stores
Senior Compliance and Financial Auditor,ከፍተኛ ተገዢነት እና የፋይናንስ ኦዲተር,P,Service,Accounting audit and adminstrative works
Senior Compliance and Review Officer,ከፍተኛ ተገዢነት እና ግምገማ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Compliance Management Officer,ከፍተኛ ተገዢነት አስተዳደር ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Compliance Officer,ከፍተኛ ተገዢነት ኦፊሰር,P,Service,Accounting audit and adminstrative works
"Senior Compliance, Risk and Grant Officer",ከፍተኛ ተገዢነት፣ ስጋት እና የስጦታ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior Compressor & Chiller Operator,ሲኒየር መጭመቂያ እና ቺለር ኦፕሬተር,P,Manufacturing,"Manufacture of food, beverage and tobacco processing equipment"
Senior Computer Networking professional,ከፍተኛ የኮምፒውተር አውታረ መረብ ባለሙያ,P,ICT and digital work,Computer network design deployment and implementation tasks
Senior Computer Programming Course Instructor,ከፍተኛ የኮምፒውተር ፕሮግራሚንግ ኮርስ አስተማሪ,P,ICT and digital work,Information Communication Technology Training Service
Senior Concret Baching plant operator,ሲኒየር ኮንክሪት Baching ተክል ከዋኝ,P,Manufacturing,"Manufacture of concrete, cement and resin products"
Senior Construction and Design Officer,ከፍተኛ የግንባታ እና ዲዛይን ኦፊሰር,P,Construction,Building Construction Contractor
Senior Consultant for eCHIS Evaluation,ለ eCHIS ግምገማ ከፍተኛ አማካሪ,P,Service,Consulting service around social science
Senior Contact Centre Agent,ሲኒየር የእውቂያ ማዕከል ወኪል,P,Service,Other services
Senior Contract Administration engineer,ከፍተኛ የኮንትራት አስተዳደር መሐንዲስ,P,Construction,General Contractor (Except for the from Water works contractor
Senior Contract Administration Officer,ከፍተኛ የኮንትራት አስተዳደር ኦፊሰር,P,Construction,General Contractor (Except for the from Water works contractor
Senior Contract Engineer,ከፍተኛ የኮንትራት መሐንዲስ,P,Construction,General Contractor (Except for the from Water works contractor
Senior Contract Management Officer I,ከፍተኛ የኮንትራት አስተዳደር ኦፊሰር I,P,Construction,General Contractor (Except for the from Water works contractor
Senior Contract Officer,ከፍተኛ የኮንትራት ኦፊሰር,P,Construction,General Contractor (Except for the from Water works contractor
Senior Controller,ከፍተኛ ተቆጣጣሪ,U,Service,Accounting audit and adminstrative works
Senior Core Driller,ሲኒየር ኮር መሰርሰሪያ,P,Mining and Quarrying,Mining works
Senior Corporate Auditor,ከፍተኛ የኮርፖሬት ኦዲተር,P,Service,Accounting audit and adminstrative works
Senior Corporate Communications Officer,ከፍተኛ የኮርፖሬት ኮሙኒኬሽን ኦፊሰር,P,Service,Consulting service around social science
Senior Corporate Governance Expert,ከፍተኛ የኮርፖሬት አስተዳደር ኤክስፐርት,P,Service,Consulting service around social science
Senior Corporate Planning and Business Performance Officer,ከፍተኛ የኮርፖሬት እቅድ እና የንግድ ሥራ አፈፃፀም ኦፊሰር,P,Service,Business Promotion Service
Senior Corporate Relationship Officer-IFB,ከፍተኛ የኮርፖሬት ግንኙነት ኦፊሰር-IFB,P,Service,Business Promotion Service
Senior Corporate Social Responsibility (CSR) Officer,ከፍተኛ የኮርፖሬት ማህበራዊ ሃላፊነት (CSR) ኦፊሰር,P,Service,Social work services
Senior Cost & Budget Accountant,ከፍተኛ ወጪ እና የበጀት አካውንታንት,P,Service,Accounting audit and adminstrative works
Senior Cost & Budget Analyst,ከፍተኛ ወጪ እና የበጀት ተንታኝ,P,Service,Accounting audit and adminstrative works
Senior Country Finance Officer,ከፍተኛ የሀገር ፋይናንስ ኦፊሰር,P,Service,Accounting audit and adminstrative works
Senior CPD Advisor/ Specialist,ሲኒየር CPD አማካሪ/እስፔሻሊስት,P,Service,Consulting service around social science
Senior Creative Director / film maker,ከፍተኛ የፈጠራ ዳይሬክተር / ፊልም ሰሪ,P,Tourism and art,Filmmaking and related work
Senior Creative Expert I,ከፍተኛ የፈጠራ ባለሙያ I,P,Tourism and art,Filmmaking and related work
Senior Credit & Financing Analyst,ከፍተኛ የብድር እና የፋይናንስ ተንታኝ,P,Service,Finance and Administration Services
Senior Credit & Portfolio Management Officer,ከፍተኛ የብድር እና ፖርትፎሊዮ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Analysis & Appraisal I,ከፍተኛ የብድር ትንተና እና ግምገማ I,P,Service,Finance and Administration Services
Senior Credit Analysis and Appraisal Officer I,ከፍተኛ የብድር ትንተና እና ግምገማ ኦፊሰር I,P,Service,Finance and Administration Services
Senior Credit Analysis and Appraisal Officer II,ከፍተኛ የብድር ትንተና እና ግምገማ ኦፊሰር II,P,Service,Finance and Administration Services
Senior Credit Analysis Officer,ከፍተኛ የብድር ትንተና ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Analyst,ከፍተኛ የብድር ተንታኝ,P,Service,Finance and Administration Services
Senior Credit Analyst Officer I,ከፍተኛ የብድር ተንታኝ ኦፊሰር I,P,Service,Finance and Administration Services
Senior Credit Appraisal Officer,ከፍተኛ የብድር ግምገማ ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Follow Up & Monitoring officer,ከፍተኛ የብድር ክትትል እና ክትትል ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Information & Portfolio Management Officer,ከፍተኛ የብድር መረጃ እና ፖርትፎሊዮ አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Monitoring Officer,ከፍተኛ የብድር ክትትል ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Officer,ከፍተኛ የብድር ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Risk Management Officer,ከፍተኛ የብድር ስጋት አስተዳደር ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Services Officer,ከፍተኛ የብድር አገልግሎት ኦፊሰር,P,Service,Finance and Administration Services
Senior Credit Workout Analyst,ሲኒየር ክሬዲት ስፖርታዊ እንቅስቃሴ ተንታኝ,P,Service,Finance and Administration Services
Senior Cupper,ሲኒየር ኩፐር,U,Manufacturing,Cocoa choclate candies and sweets food manufacture
Senior Currency Management,ሲኒየር ምንዛሪ አስተዳደር,P,Service,Finance and Administration Services
Senior Customer Care Officer,ከፍተኛ የደንበኛ እንክብካቤ ኦፊሰር,P,Service,Finance and Administration Services
Senior Customer Relation & Saving Coordinator,ከፍተኛ የደንበኞች ግንኙነት እና ቁጠባ አስተባባሪ,P,Service,Finance and Administration Services
Senior Customer Relations Officer I,ከፍተኛ የደንበኞች ግንኙነት ኦፊሰር I,P,Service,Finance and Administration Services
Senior Customer Relationship Manager,ከፍተኛ የደንበኛ ግንኙነት አስተዳዳሪ,P,Service,Finance and Administration Services
Senior Customs Expert,ከፍተኛ የጉምሩክ ባለሙ,P,Service,Finance and Administration Services
Senior Cyber Security Analyst,ሲኒየር ሳይበር ደህንነት ተንታኝ,P,ICT and digital work,Software Design Development and Implementation Works
Senior Cybersecurity Incident Response Officer,ከፍተኛ የሳይበር ደህንነት ክስተት ምላሽ መኮንን,P,ICT and digital work,Software Design Development and Implementation Works
Senior Data & Business Intelligence Analyst,ሲኒየር ውሂብ እና የንግድ ኢንተለጀንስ ተንታኝ,P,ICT and digital work,Database organization and data processing
Senior Data Analysis Specialists,ከፍተኛ የውሂብ ትንተና ስፔሻሊስቶች,P,ICT and digital work,Database organization and data processing
Senior Data Analyst,ከፍተኛ የውሂብ ተንታኝ,P,ICT and digital work,Database organization and data processing
Senior data Architect Expert,ሲኒየር ውሂብ አርክቴክት ኤክስፐርት,P,ICT and digital work,Database organization and data processing
Senior Data Base Administrator,ሲኒየር የውሂብ ቤዝ አስተዳዳሪ,P,ICT and digital work,Database organization and data processing
Senior Data Center Facility Engineer,ሲኒየር የውሂብ ማዕከል ተቋም መሐንዲስ,P,ICT and digital work,Data Center Hosting Services
Senior Data Clerk Officer,ከፍተኛ የውሂብ ጸሐፊ መኮንን,P,ICT and digital work,Database organization and data processing
Senior Data Encoder,ሲኒየር ውሂብ ኢንኮደር,P,ICT and digital work,Database organization and data processing
Senior Data Management Officer,ከፍተኛ የውሂብ አስተዳደር ኦፊሰር,P,ICT and digital work,Database organization and data processing
Senior Data programmer,ሲኒየር ዳታ ፕሮግራመር,P,ICT and digital work,Software Design Development and Implementation Works
Senior Data Science Officer,ከፍተኛ የውሂብ ሳይንስ ኦፊሰር,P,ICT and digital work,Database organization and data processing
Senior Data Use Advisor for GEEKS project,GEEKS ፕሮጀክት ከፍተኛ የውሂብ አጠቃቀም አማካሪ,P,ICT and digital work,Database organization and data processing
Senior Database & Web Page Administrator,ከፍተኛ የውሂብ ጎታ እና የድር ገጽ አስተዳዳሪ,P,ICT and digital work,Database organization and data processing
Senior Database Administration Officer,ከፍተኛ የውሂብ ጎታ አስተዳደር ኦፊሰር,P,ICT and digital work,Database organization and data processing
Senior Datacenter Officer,ከፍተኛ የውሂብ ማዕከል ኦፊሰር,P,ICT and digital work,Data Center Hosting Services
Senior Datacenter Systems and Cloud Engineer,ሲኒየር Datacenter ሲስተምስ እና ክላውድ መሐንዲስ,P,ICT and digital work,Data Center Hosting Services
Senior Demographer,ሲኒየር ዲሞግራፈር,P,Service,Consulting service around social science
Senior Design and R&D Engineer,ሲኒየር ዲዛይን እና R&D መሐንዲስ,P,Service,Research and experimental development work in engineering and technology
Senior Design Engineer,ከፍተኛ ንድፍ መሐንዲስ,P,Service,Research and experimental development work in engineering and technology
Senior Design Project & Program Management Engineer (Building),ሲኒየር ዲዛይን ፕሮጀክት እና የፕሮግራም አስተዳደር መሐንዲስ (ህንፃ),P,Construction,Building Construction Contractor
Senior Diaspora Communication & Management and FOREX Officer,ፍተኛ የዲያስፖራ ኮሙዩኒኬሽን እና አስተዳደር እና የ FOREX ኦፊሰር,P,Service,Finance and Administration Services
Senior Digital Banking Business Officer,ሲኒየር ዲጂታል ባንኪንግ ቢዝነስ ኦፊሰር,P,Service,Finance and Administration Services
Senior Digital Banking Officer,ከፍተኛ የዲጂታል ባንክ ኦፊሰር,P,Service,Finance and Administration Services
Senior Digital Banking Operation Officer,ከፍተኛ የዲጂታል ባንክ ኦፕሬሽን ኦፊሰር,P,Service,Finance and Administration Services
Senior Digital Channel Development Officer,ከፍተኛ የዲጂታል ቻናል ልማት ኦፊሰር,P,Service,Finance and Administration Services
Senior Digital Channels Engineer,ሲኒየር ዲጂታል ቻናሎች መሐንዲስ,P,ICT and digital work,Software Design Development and Implementation Works
Senior Digital Finance Accountant,ሲኒየር ዲጂታል ፋይናንስ አካውንታንት,P,Service,Finance and Administration Services
SENIOR DIGITAL HEALTH ADVISOR,ሲኒየር ዲጂታል ጤና አማካሪ,P,Health,Health
Senior Digital Marketer,ሲኒየር ዲጂታል ገበያተኛ,P,Service,Advertising
