"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence","subsector_isco4","filter_applied","n_dropped","dropped_labels"
"Purchasing and Property Section Head","የግዢ እና ንብረት ክፍል ኃላፊ","P","Business","Wholesale business in specialized stores","minilm","5","0.7369","low_similarity","property acquisitions manager","http://data.europa.eu/esco/occupation/b915ab4a-f7b1-44bc-a5a4-585e91d31dfd","0.7369","low_similarity","property assistant","http://data.europa.eu/esco/occupation/c5c1c40f-d2b7-437f-b3e8-b9da48f6d728","0.7322","low_similarity","property developer","http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83","0.7288","low_similarity","property appraiser","http://data.europa.eu/esco/occupation/afc5a0f4-42e5-4bfb-910c-2b54b44f99c5","0.7136","low_similarity","motor vehicles specialised seller","http://data.europa.eu/esco/occupation/6a163fef-dee8-4583-82b0-13b76d8a27b2","0.7115","low_similarity","","no","0",""
"Purchasing and Supplies Management officer.","የግዢ እና አቅርቦት አስተዳደር ኦፊሰር","P","Business","Wholesale business in specialized stores","minilm","5","0.8788","high_confidence","procurement support officer","http://data.europa.eu/esco/occupation/c9b2b0a7-0adc-4ca7-bf7c-dc95e18aeac7","0.8788","high_confidence","purchasing manager","http://data.europa.eu/esco/occupation/377865f0-c327-4599-8c7e-d428c6588edf","0.8675","high_confidence","procurement department manager","http://data.europa.eu/esco/occupation/91f93dc4-1b71-4053-b6fb-c579ec19303a","0.8590","high_confidence","inventory coordinator","http://data.europa.eu/esco/occupation/d7a9f9e0-e2f5-4804-a0e0-b21ebb1403ee","0.8365","low_similarity","retail department manager","http://data.europa.eu/esco/occupation/a79d9e58-36be-4e67-a4db-ea6c8ff445fc","0.8364","low_similarity","","no","0",""
"Python (Django) and Flutter Developer","Python (Django) እና Flutter ገንቢ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","4","0.6899","low_similarity","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","0.6899","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.6608","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.6532","low_similarity","industrial mobile devices software developer","http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b","0.6417","low_similarity","","","","","2512.0","yes","1","application engineer"
"Python and C++ Tutor for kids","Python እና C ++ አስተማሪ ለልጆች","P","Education","other","minilm","5","0.7919","low_similarity","tutor","http://data.europa.eu/esco/occupation/59bce29f-5c8b-47cf-bfd4-6ec003f5323a","0.7919","low_similarity","early years teaching assistant","http://data.europa.eu/esco/occupation/4d27152a-a8ee-4f5a-9f93-a2fb4fb2b2e3","0.6958","low_similarity","e-learning developer","http://data.europa.eu/esco/occupation/ec5b72d1-0206-4179-9abd-570c66bc44b9","0.6941","low_similarity","modern languages teacher secondary school","http://data.europa.eu/esco/occupation/fb0c7da2-6d0e-4a3f-be3e-344f58f0e82d","0.6939","low_similarity","computer science lecturer","http://data.europa.eu/esco/occupation/c3b82711-273d-4fa8-8de7-0ac3d99c16fc","0.6910","low_similarity","","no","0",""
"Python and Django developer","Python እና Django ገንቢ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.7027","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.7027","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.6877","low_similarity","web developer","http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d","0.6785","low_similarity","blockchain developer","http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2","0.6783","low_similarity","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","0.6680","low_similarity","2512.0","yes","0",""
"Python and Flutter developer","Python እና Flutter ገንቢ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","4","0.7101","low_similarity","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","0.7101","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.6991","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.6878","low_similarity","blockchain developer","http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2","0.6642","low_similarity","","","","","2512.0","yes","1","product development engineering technician"
"Python and JavaScript Developer","Python እና JavaScript ገንቢ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","4","0.7618","low_similarity","web developer","http://data.europa.eu/esco/occupation/c40a2919-48a9-40ea-b506-1f34f693496d","0.7618","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.7395","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.7277","low_similarity","blockchain developer","http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2","0.7154","low_similarity","","","","","2512.0","yes","1","script supervisor"
"Python Bug hunter","Python Bug አዳኝ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","2","0.6589","low_similarity","ethical hacker","http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5","0.6589","low_similarity","software tester","http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b","0.6580","low_similarity","","","","","","","","","","","","","2512.0","yes","3","hunter; zookeeper; interpreter"
"Python coder for trading bot","የ Python ኮድ ለንግድ ቦቶች","P","ICT and digital work","Software Design Development and Implementation Works","minilm","1","0.6919","low_similarity","ethical hacker","http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5","0.6919","low_similarity","","","","","","","","","","","","","","","","","2512.0","yes","4","scraper operator; commodity trader; stock trader; clinical coder"
"Python Data Analyst/Engineer","የፓይዘን ዳታ ተንታኝ/ኢንጂነር","P","ICT and digital work","Database organization and data processing","minilm","4","0.8550","high_confidence","data analyst","http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2","0.8550","high_confidence","data scientist","http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30","0.8065","low_similarity","software analyst","http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86","0.7806","low_similarity","data warehouse designer","http://data.europa.eu/esco/occupation/1562c7a3-c7d9-419d-b9b6-db26610bcf84","0.7476","low_similarity","","","","","2521.0","yes","1","data entry supervisor"
"python debugger(EXPERT)","የፓይቶን አራሚ (EXPERT)","P","ICT and digital work","Software Design Development and Implementation Works","minilm","3","0.6710","low_similarity","software tester","http://data.europa.eu/esco/occupation/106f79e4-6264-45f1-9e7a-297435cd684b","0.6710","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.6703","low_similarity","software analyst","http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86","0.6691","low_similarity","","","","","","","","","2512.0","yes","2","deburring machine operator; print studio supervisor"
"Python Developer / Machine Learning Engineer / Data Scientist / Data Analytics","Python ገንቢ / የማሽን መማሪያ መሐንዲስ / የውሂብ ሳይንቲስት / የውሂብ ትንታኔ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.8219","low_similarity","data scientist","http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30","0.8219","low_similarity","data analyst","http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2","0.7959","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.7861","low_similarity","software analyst","http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86","0.7677","low_similarity","computer scientist","http://data.europa.eu/esco/occupation/e3229e40-f571-4b26-baca-29edc8fe313e","0.7670","low_similarity","2512.0","yes","0",""
"Python Telegram Bot Developer with blockchain skills","Python ቴሌግራም Bot ገንቢ በብሎክቼይን ችሎታ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","5","0.7770","low_similarity","blockchain developer","http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2","0.7770","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.6951","low_similarity","ethical hacker","http://data.europa.eu/esco/occupation/76ef0a87-6afe-4560-b5d0-9a086abe45c5","0.6906","low_similarity","user interface developer","http://data.europa.eu/esco/occupation/866c7813-2c03-47d7-9bdc-192cfbace57c","0.6778","low_similarity","ICT network engineer","http://data.europa.eu/esco/occupation/cf2b03cd-feb7-4f47-90f6-ff1ed6016d3d","0.6719","low_similarity","2512.0","yes","0",""
"Python two factor authentication","Python ባለ ሁለት ደረጃ ማረጋገጫ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2512.0","yes","5","biometrician; personal trust officer; membership administrator; social security administrator; security alarm investigator"
"QA and system tester","QA እና የስርዓት ሞካሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","software tester; ICT system tester; control panel tester; motor vehicle engine tester; ICT integration tester"
"QA engineer and System Trainer","የQA መሐንዲስ እና የስርዓት አሰልጣኝ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","ICT trainer; engineering assistant; quality engineering technician; equipment engineer; process engineering technician"
"QA specialist","የ QA ስፔሻሊስት","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","specialised doctor; healthcare specialist lecturer; pharmaceutical quality specialist; assistive technologist; physiologist"
"QA Tester","የQA ሞካሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","software tester; motor vehicle engine tester; ICT system tester; chemical tester; aircraft engine tester"
"QA/QC","QA/QC","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; ICT quality assurance manager; quality services manager; physicist; product quality inspector"
"Qaulity Assurance Officer","የቃሊቲ ማረጋገጫ ኦፊሰር","P","Service","Quality Management Consulting Service","minilm","3","0.7552","low_similarity","legal policy officer","http://data.europa.eu/esco/occupation/5d601b40-7e0e-404e-bbff-bb98e147437c","0.7552","low_similarity","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.7466","low_similarity","personal trust officer","http://data.europa.eu/esco/occupation/7284ccbf-e2fd-4e2f-8bbf-bc54eab610d5","0.7410","low_similarity","","","","","","","","","2421.0","yes","2","health and safety officer; tax compliance officer"
"QC & Test Engineer:","QC እና የሙከራ መሐንዲስ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","test engineer; quality engineering technician; quality engineer; research engineer; electronics engineer"
"QC chemical analyst","QC የኬሚካል ተንታኝ","P","Service","Laboratory test","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3212.0","yes","5","chemical application specialist; chemical processing supervisor; analytical chemist; chemical manufacturing quality technician; chemical engineer"
"QC Chemist","QC ኬሚስት","P","Service","Laboratory test","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3212.0","yes","5","chemist; analytical chemist; textile chemist; cosmetic chemist; fragrance chemist"
"QC Engineer","QC መሐንዲስ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; electronics engineer; manufacturing engineer; computer hardware engineer; photonics engineer"
"QC microbiology analyst","QC የማይክሮባዮሎጂ ተንታኝ","P","Service","Laboratory test","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3212.0","yes","5","microbiologist; bacteriology technician; water quality analyst; medical laboratory manager; biochemistry technician"
"QGrader(coffee cupper)","QGrader (የቡና ኩባያ)","P","agriculture","Coffee cultivation","minilm","0","","","","","","","","","","","","","","","","","","","","","","","6112.0","yes","5","coffee taster; coffee roaster; coffee grinder; master coffee roaster; brewmaster"
"QHSSE (QUALITY, HEALTH, SAFETY, SECURITY AND ENVIRONMENT) MANAGER","QHSSE (ጥራት፣ ጤና፣ ደህንነት፣ ደህንነት እና አካባቢ) አስተዳዳሪ","P","Service","Occupational Safety and Health Care Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2263.0","yes","5","quality services manager; industrial quality manager; health and safety engineer; ICT quality assurance manager; environmental protection manager"
"QR code developer","የQR ኮድ ገንቢ","P","ICT and digital work","Software Design Development and Implementation Works","minilm","4","0.7304","low_similarity","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","0.7304","low_similarity","mobile application developer","http://data.europa.eu/esco/occupation/2ed56c3f-61d6-4f7e-9ef8-8849eb102e4c","0.7214","low_similarity","blockchain developer","http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2","0.7193","low_similarity","industrial mobile devices software developer","http://data.europa.eu/esco/occupation/bb6198c4-1d3e-40b9-9cc4-ad2dd9d7c74b","0.7091","low_similarity","","","","","2512.0","yes","1","photographic developer"
"QS-Engineer","QS-ኢንጂነር","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; electronics engineer; test engineer; research engineer; application engineer"
"Qualitative and quantitative data collectors","የጥራት እና የቁጥር መረጃ ሰብሳቢዎች","P","Service","Research and Experimental Development Works on Economics and Development","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2631.0","yes","5","data quality specialist; data scientist; data warehouse designer; data analyst; data centre operator"
"Qualitative Interview Transcription","የጥራት ቃለ መጠይቅ ግልባጭ","P","Service","Research and Experimental Development Works on Economics and Development","minilm","1","0.7091","low_similarity","interpreter","http://data.europa.eu/esco/occupation/23e692a9-a242-4d4f-988f-ed562f757864","0.7091","low_similarity","","","","","","","","","","","","","","","","","2631.0","yes","4","medical transcriptionist; market research interviewer; speech and language therapist; linguistics lecturer"
"Qualitative Social Scientist","የጥራት ማህበራዊ ሳይንቲስት","P","Service","Consulting service around social science","minilm","5","0.8369","low_similarity","social work researcher","http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73","0.8369","low_similarity","community social worker","http://data.europa.eu/esco/occupation/ce53a1b2-2fec-4d04-9390-47fb3dd525f0","0.7954","low_similarity","community development social worker","http://data.europa.eu/esco/occupation/ff2c1183-3fd7-40c7-8ddc-b20b100363c3","0.7946","low_similarity","consultant social worker","http://data.europa.eu/esco/occupation/186ef31e-f26f-4320-a307-c5f95d6cb284","0.7888","low_similarity","social worker","http://data.europa.eu/esco/occupation/4b05bef2-ded4-4b09-ab94-f4c6a555a775","0.7832","low_similarity","2632.0","yes","0",""
"Quality & Support Unit Senior Advisor","የጥራት እና ድጋፍ ክፍል ከፍተኛ አማካሪ","P","Service","Quality Management Consulting Service","minilm","1","0.7605","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.7605","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","quality services manager; academic support officer; project support officer; academic advisor"
"Quality Analyst","የጥራት ተንታኝ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; data quality specialist; product quality inspector; water quality analyst; quality engineering technician"
"Quality and control personnel","ጥራት እና ቁጥጥር ሰራተኞች","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","industrial quality manager; quality services manager; quality engineer; construction quality manager; quality engineering technician"
"Quality Assessment Head","የጥራት ግምገማ ኃላፊ","P","Service","Quality Management Consulting Service","minilm","1","0.7495","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.7495","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","quality engineer; product quality inspector; construction quality inspector; head sommelier"
"Quality Assurance & Enhancement Officer","የጥራት ማረጋገጫ እና ማሻሻል ኦፊሰር","P","Service","Quality Management Consulting Service","minilm","1","0.8149","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.8149","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","ICT quality assurance manager; quality engineer; industrial quality manager; construction quality manager"
"Quality Assurance & Monitoring officer Infrastructure Projects","የጥራት ማረጋገጫ እና ክትትል ኦፊሰር የመሠረተ ልማት ፕሮጀክቶች","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","ICT quality assurance manager; construction quality inspector; railway infrastructure inspector; communication infrastructure maintainer; construction quality manager"
"Quality Assurance & Research Service Head","የጥራት ማረጋገጫ እና የምርምር አገልግሎት ኃላፊ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; ICT quality assurance manager; quality engineer; data quality specialist; quality engineering technician"
"Quality Assurance Analyst","የጥራት ማረጋገጫ ተንታኝ","P","Service","Quality Management Consulting Service","minilm","2","0.8471","low_similarity","accounting analyst","http://data.europa.eu/esco/occupation/caafca69-9faa-4850-8930-a3fa07fea4e6","0.8471","low_similarity","business analyst","http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed","0.8396","low_similarity","","","","","","","","","","","","","2421.0","yes","3","ICT quality assurance manager; quality engineer; software analyst"
"Quality Assurance and Control Engineer","የጥራት ማረጋገጫ እና ቁጥጥር መሐንዲስ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; quality engineering technician; industrial quality manager; ICT quality assurance manager; construction quality manager"
"Quality Assurance and Enhancement Officer","የጥራት ማረጋገጫ እና ማሻሻያ ኦፊሰር","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","ICT quality assurance manager; quality engineer; product quality inspector; industrial quality manager; construction quality inspector"
"Quality Assurance and Training Coordinator","የጥራት ማረጋገጫ እና ስልጠና አስተባባሪ","P","Service","Quality Management Consulting Service","minilm","2","0.8260","low_similarity","employment programme coordinator","http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158","0.8260","low_similarity","corporate training manager","http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5","0.8101","low_similarity","","","","","","","","","","","","","2421.0","yes","3","education programme coordinator; ICT quality assurance manager; quality engineering technician"
"Quality Assurance Chemist","የጥራት ማረጋገጫ ኬሚስት","P","Service","Laboratory test","minilm","0","","","","","","","","","","","","","","","","","","","","","","","3212.0","yes","5","chemist; chemical manufacturing quality technician; analytical chemist; pharmaceutical quality specialist; quality engineer"
"Quality Assurance Coordinator","የጥራት ማረጋገጫ አስተባባሪ","P","Service","Quality Management Consulting Service","minilm","1","0.8228","low_similarity","employment programme coordinator","http://data.europa.eu/esco/occupation/65fb0b53-b8c4-4839-b099-c80b6de5a158","0.8228","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","ICT quality assurance manager; industrial quality manager; quality engineering technician; quality engineer"
"Quality Assurance Department Manager","የጥራት ማረጋገጫ ክፍል ሥራ አስኪያጅ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","ICT quality assurance manager; industrial quality manager; quality services manager; department manager; construction quality manager"
"Quality Assurance Division Head","የጥራት ማረጋገጫ ክፍል ኃላፊ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","industrial quality manager; quality engineer; ICT quality assurance manager; product quality inspector; construction quality inspector"
"Quality Assurance Head","የጥራት ማረጋገጫ ኃላፊ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; ICT quality assurance manager; product quality inspector; industrial quality manager; quality engineering technician"
"Quality assurance specialist","የጥራት ማረጋገጫ ባለሙያ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","data quality specialist; quality engineer; quality engineering technician; pharmaceutical quality specialist; ICT quality assurance manager"
"Quality Assurance Supervisor","የጥራት ማረጋገጫ ተቆጣጣሪ","P","Service","Quality Management Consulting Service","minilm","1","0.8181","low_similarity","audit supervisor","http://data.europa.eu/esco/occupation/cd4f41a5-87a6-4b3c-8ee3-14e6f457c365","0.8181","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","ICT quality assurance manager; quality engineer; industrial quality manager; quality services manager"
"Quality Assurance Technician","የጥራት ማረጋገጫ ቴክኒሻን","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineering technician; chemical manufacturing quality technician; electronics engineering technician; consumer electronics repair technician; quality engineer"
"Quality Auditor","ጥራት ያለው ኦዲተር","P","Service","Quality Management Consulting Service","minilm","1","0.8766","high_confidence","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","0.8766","high_confidence","","","","","","","","","","","","","","","","","2421.0","yes","4","call centre quality auditor; IT auditor; night auditor; product quality inspector"
"Quality Award Researchers","የጥራት ሽልማት ተመራማሪዎች","P","Service","Quality Award Service","minilm","5","0.7484","low_similarity","quality engineer","http://data.europa.eu/esco/occupation/30c0943c-caa1-411d-b273-26f475971273","0.7484","low_similarity","product quality inspector","http://data.europa.eu/esco/occupation/61d9270c-491d-438d-8d41-77ba2e0ef023","0.7417","low_similarity","data quality specialist","http://data.europa.eu/esco/occupation/7086d0ca-1e77-4690-89c9-7ed1a0478fa3","0.7158","low_similarity","quality services manager","http://data.europa.eu/esco/occupation/109e0a5d-203d-4af6-8f70-692111335ec3","0.7111","low_similarity","construction quality manager","http://data.europa.eu/esco/occupation/326027fc-5408-47cd-9b32-fbe770dbbe80","0.7074","low_similarity","","no","0",""
"Quality control engineer","የጥራት ቁጥጥር መሐንዲስ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; quality engineering technician; industrial quality manager; construction quality manager; production engineer"
"Quality Control Manager","የጥራት ቁጥጥር አስተዳዳሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","industrial quality manager; quality services manager; product quality controller; construction quality manager; ICT quality assurance manager"
"Quality control officer","የጥራት ቁጥጥር መኮንን","P","Service","Quality Management Consulting Service","minilm","1","0.8221","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.8221","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","industrial quality manager; quality services manager; quality engineer; health and safety officer"
"Quality Executive","የጥራት አስፈፃሚ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","chief executive officer; quality engineer; quality services manager; industrial quality manager; construction quality manager"
"Quality Improvement Officer","የጥራት ማሻሻያ ኦፊሰር","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; industrial quality manager; construction quality manager; quality services manager; construction quality inspector"
"Quality Improvement Specialist","የጥራት ማሻሻያ ስፔሻሊስት","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality engineer; data quality specialist; quality engineering technician; industrial quality manager; quality services manager"
"Quality Inspection & assurance Specialist (Senior cupper)","የጥራት ቁጥጥር እና የማረጋገጫ ባለሙያ","P","Service","Quality Management Consulting Service","minilm","1","0.7979","low_similarity","monitoring and evaluation officer","http://data.europa.eu/esco/occupation/8213b4bc-60ce-4ffc-9e00-9758fb2003c6","0.7979","low_similarity","","","","","","","","","","","","","","","","","2421.0","yes","4","construction quality inspector; quality engineer; quality engineering technician; health and safety inspector"
"Quality Inspector","የጥራት መርማሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","product quality inspector; construction quality inspector; clothing quality inspector; textile quality inspector; building inspector"
"Quality Management Assessor","የጥራት አስተዳደር ገምጋሚ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; industrial quality manager; construction quality manager; quality engineer; ICT quality assurance manager"
"Quality Management Coordinator","የጥራት አስተዳደር አስተባባሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; industrial quality manager; construction quality manager; ICT quality assurance manager; facilities manager"
"Quality Management Service Head","የጥራት አስተዳደር አገልግሎት ኃላፊ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; industrial quality manager; service manager; construction quality manager; business service manager"
"Quality Management System & Safety Management System Officer","የጥራት አስተዳደር ስርዓት እና የደህንነት አስተዳደር ስርዓት ኦፊሰር","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","industrial quality manager; health and safety officer; quality services manager; construction safety manager; ICT quality assurance manager"
"Quality management system supervisor","የጥራት አስተዳደር ስርዓት ተቆጣጣሪ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; industrial quality manager; construction quality manager; ICT quality assurance manager; industrial maintenance supervisor"
"Quality Service Head","የጥራት አገልግሎት ኃላፊ","P","Service","Quality Management Consulting Service","minilm","0","","","","","","","","","","","","","","","","","","","","","","","2421.0","yes","5","quality services manager; industrial quality manager; product quality inspector; quality engineer; service manager"
"Quality Voice Over","ጥራት ያለው ድምጽ በላይ","P","Service","Other services","minilm","5","0.8473","low_similarity","voice-over artist","http://data.europa.eu/esco/occupation/e89e330c-daa3-48f0-b34e-04e3344ea8dc","0.8473","low_similarity","speechwriter","http://data.europa.eu/esco/occupation/5a91a8bc-eb18-4c7e-847d-96cbcce5a47a","0.7045","low_similarity","sound artist","http://data.europa.eu/esco/occupation/ce8145f5-d7ea-40ea-b12e-ef168f11184a","0.6981","low_similarity","public speaking coach","http://data.europa.eu/esco/occupation/21f4eb29-f6e5-4623-acb9-f3ff9c2f525d","0.6947","low_similarity","call centre quality auditor","http://data.europa.eu/esco/occupation/580c98d4-fb97-4597-864c-54140f058f1b","0.6887","low_similarity","","no","0",""
